Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,HIV,TB,Malaria,ANC,Immu,Quality_Score,HW_Competence_Score,HW_Check,ANC_score,ART_score,TB_score,Patient_Centeredness_Score,PC_Individuals,PC_attributes,iss_score,iss_check,fac_tech,fac_stats,fac_group_PS,fac_comms_data,HTM-ANC,hiv testing,ART access,iptp scores,TB screening,system_CHW_score,chw_show,chw_iss,chw_contract,chw_paid,chw_tools,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_paid,CHW_scores,CLM_score,guideline_score,guide_HIV,guide_TB,guide_malaria,guide_anc,guide_immu,guide_imci,oxygen_score,oxygen_avl,oxygen_avo,test-capac,test-capac_check,with lab,without lab,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_001149,Nayuchi Health Centre,South East Zone,Machinga,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,23893,100,100,100,100,100,79.16666667,80,"[60.0, 60.0, 70.0, 70.0, 70.0, 50.0, 100.0, 100.0, 100.0, 100.0, 100.0]",66,90,100,78.33333333,"[77.77777777777777, 72.22222222222223, 72.22222222222223, 77.77777777777777, 91.66666666666667]","[100, 75, 75, 100, 50, 100, 100, 100, 0, 100, 75, 100, 100, 75, 100, 100, 0, 0, 100, 100, 100, 100, 50, 100, 100, 0, 0, 100, 100, 25, 100, 75, 100, 100, 100, 0, 100, 100, 75, 100, 50, 100, 100, 100, 100]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,85,"[100.0, 100.0, 50.0, 75.0, 100.0]",100,100,60,80,83.55287125,66.66666667,100,100,40,94.65056083,100,,60,"[100, 100, 0, 0, 100]",66.66666667,85.71428571,100,100,0,100,100,100,,,,18.51851852,"[100, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 100, 0, 0, 100]",18.51851852,,14.28571429,70,10
MWI_000525,Kamsonga Health Centre,Central East Zone,Ntchisi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,24176,100,100,100,100,100,43.20707071,23.63636364,"[40.0, 40.0, 40.0, 50.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0]",42,0,50,62.77777778,"[33.333333333333336, 75.0, 66.66666666666667, 66.66666666666667, 72.22222222222223]","[100, 100, 0, 100, 0, 0, 0, 0, 0, 100, 75, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 100, 0, 0, 100, 0, 100, 100, 100, 100, 50, 100, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,20,"[25.0, 0.0, 0.0, 50.0, 25.0]",20,0,0,60,72.36167341,66.66666667,100,100,40,99.86504723,0,100,0,"[0, 0, 0, 0, 0]",100,100,100,100,100,100,100,100,,,,29.62962963,"[100, 100, 100, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",29.62962963,,34.48275862,58,20
MWI_001302,Rumphi District Hospital,North Zone,Rumphi,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,39400,100,100,100,100,100,68.31818182,58.3030303,"[54.54545454545455, 60.0, 80.0, 60.0, 70.0, 0.0, 0.0, 50.0, 0.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]",64.90909091,10,100,78.33333333,"[75.0, 77.77777777777777, 88.88888888888889, 66.66666666666667, 83.33333333333333]","[100, 100, 25, 100, 50, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 100, 100, 0, 100, 100, 100, 100, 50, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,43.33333333,40,0,100,0,20,"[0.0, 0.0, 0.0, 50.0, 50.0]",0,40,40,0,40.3372549,43.33333333,,,0,78.35294118,80,0,40,"[0, 0, 0, 100, 100]",100,85.71428571,100,100,100,100,0,100,50,0,100,66.66666667,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",66.66666667,,40.88114754,976,399
MWI_001197,Nkhoma Mission Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,75710,100,100,100,100,100,61.38888889,53.33333333,"[60.0, 60.0, 60.0, 60.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",60,50,50,69.44444444,"[75.0, 75.0, 58.333333333333336, 80.55555555555556, 58.333333333333336]","[100, 100, 0, 100, 75, 100, 100, 100, 0, 100, 100, 75, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 25, 0, 0, 100, 0, 75, 100, 75, 100, 75, 100, 100, 100, 0, 75, 100, 50, 75, 25, 100, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,40,"[50.0, 50.0, 25.0, 25.0, 50.0]",80,0,0,80,59.50533139,66.66666667,100,52.5,0,97.3706531,0,100,0,"[0, 0, 0, 0, 0]",100,100,100,100,100,100,100,100,100,100,100,62.96296296,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",62.96296296,,4.511278195,266,12
MWI_001366,St. Johns Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,24450,100,100,100,100,100,51.73737374,32.36363636,"[50.0, 60.0, 45.45454545454545, 40.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",47.09090909,0,50,71.11111111,"[77.77777777777777, 72.22222222222223, 58.333333333333336, 77.77777777777777, 69.44444444444444]","[100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 25, 100, 25, 100, 100, 100, 0, 100, 75, 0, 50, 0, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0, 100, 100, 25, 100, 0, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,43.33333333,40,0,100,0,25,"[25.0, 25.0, 25.0, 25.0, 25.0]",0,80,20,0,54.42698101,43.33333333,,,60,88.80157171,80,0,20,"[0, 0, 0, 0, 100]",16.66666667,85.71428571,100,100,100,100,100,0,100,100,100,48.14814815,"[100, 0, 0, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",48.14814815,,50.64935065,77,39
MWI_000818,Malomo Health Centre,Central East Zone,Ntchisi,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,53042,100,100,100,100,100,53.82539683,47.33333333,"[60.0, 60.0, 60.0, 60.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 100.0, 50.0, 50.0]",62,0,80,60.31746032,"[44.44444444444444, 66.66666666666667, 57.142857142857146, 66.66666666666667, 66.66666666666667]","[50, 50, 50, 100, 50, 0, 100, 0, 0, 100, 100, 0, 100, 0, 100, 100, 100, 0, 50, 50, 0, nan, nan, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 100, 100, 0, 50, 50, 50, 100, 50, 100, 100, 100, 0]",75,"[0, 100, 100, 100]",0,100,100,100,66.66666667,100,,100,0,30,"[25.0, 25.0, 25.0, 50.0, 25.0]",20,0,60,40,87.53616637,66.66666667,66.66666667,100,80,99.41983122,100,100,60,"[100, 0, 100, 100, 0]",83.33333333,57.14285714,100,100,100,0,0,0,50,100,0,29.62962963,"[0, 0, 100, 0, 100, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",29.62962963,,,60,999
MWI_000194,Chikweo Health Centre,South East Zone,Machinga,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,110850,100,100,100,100,100,70.09722222,85.33333333,"[50.0, 60.0, 60.0, 50.0, 60.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",56,100,100,54.86111111,"[83.33333333333333, 47.22222222222222, 25.0, 63.888888888888886]","[100, 100, 100, 50, 100, 100, 100, 100, 0, 100, 50, 50, 25, 0, 100, 0, 100, 0, 50, 25, 50, 0, 0, 100, 0, 0, 0, 100, 100, 75, 100, 0, 100, 0, 100, 0]",50,"[0, 100, 0, 100]",0,100,0,100,66.66666667,100,,100,0,35,"[50.0, 25.0, 50.0, 0.0, 50.0]",20,60,0,60,73.2129493,66.66666667,50,100,40,95.82397845,80,80,0,"[0, 0, 0, 0, 0]",100,100,100,100,100,100,100,100,,,,37.03703704,"[100, 0, 0, 0, 100, 100, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 100]",37.03703704,,17.74193548,62,11
MWI_001509,Zomba Central Hospital,South East Zone,Zomba,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,5157,100,100,100,100,100,55.23232323,51.57575758,"[70.0, 60.0, 70.0, 60.0, 63.63636363636363, 0.0, 50.0, 0.0, 50.0, 0.0, 100.0, 100.0, 50.0, 50.0, 50.0]",64.72727273,20,70,58.88888889,"[58.333333333333336, 63.888888888888886, 55.55555555555556, 55.55555555555556, 61.111111111111114]","[75, 75, 75, 100, 100, 0, 0, 100, 0, 100, 100, 25, 100, 50, 100, 0, 100, 0, 75, 50, 0, 75, 0, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 0, 0, 0, 100, 50, 50, 50, 100, 100, 100, 0, 0]",25,"[100, 0, 0, 0]",100,0,0,0,50,100,66.66666667,60,0,15,"[0.0, 25.0, 0.0, 50.0, 0.0]",0,20,0,40,77.24259025,50,77.77777778,100,100,92.92035398,20,100,0,"[0, 0, 0, 0, 0]",66.66666667,57.14285714,100,100,0,0,100,0,50,100,0,81.48148148,"[100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100, 0, 0, 100, 100, 100, 100, 100]",81.48148148,,,999,999
MWI_001522,Osiyana,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,16371,100,0,100,100,100,62.33333333,43,"[60.0, 50.0, 60.0, 60.0, 50.0, 0.0, 0.0, 50.0, 50.0, 50.0]",56,30,,81.66666667,"[94.44444444444444, 77.77777777777777, 69.44444444444444, 83.33333333333333, 83.33333333333333]","[100, 100, 75, 100, 75, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 100, 100, 25, 100, 0, 100, 0, 100, 100, 100, 100, 50, 100, 100, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,50,"[50.0, 25.0, 75.0, 0.0, 100.0]",80,20,60,40,83.63480779,66.66666667,100,100,40,95.14218009,,100,60,"[100, 0, 100, 0, 100]",83.33333333,100,100,,100,100,100,100,,,,54.54545455,"[100, 100, 0, 0, 100, 0, 0, 0, 100, 100, 100]",,54.54545455,47.36842105,57,27
MWI_001092,Mzambazi Community Hospital,North Zone,Mzimba,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,27176,100,100,100,100,100,62.28472222,42,"[50.0, 50.0, 40.0, 50.0, 40.0, 50.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",46,30,50,82.56944444,"[83.33333333333333, 80.55555555555556, 90.625, 80.55555555555556, 77.77777777777777]","[100, 100, 100, 100, 50, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 100, 100, 25, 100, 100, 100, nan, 100, 100, 100, 100, 25, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,37.5,"[50.0, 0.0, 25.0, 75.0]",50,75,0,25,65.11511922,66.66666667,50,100,40,99.13916786,100,0,0,"[0, 0, 0, 0]",100,85.71428571,100,0,100,100,100,100,50,0,100,37.03703704,"[100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 100, 100, 0, 0, 0, 100, 0, 0, 0]",37.03703704,,32.55813953,129,42
MWI_001216,Nsanje District Hospital,South West Zone,Nsanje,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,9,100,100,100,100,100,44.31944444,36,"[60.0, 80.0, 50.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",58,0,50,52.63888889,"[61.111111111111114, 68.75, 55.55555555555556, 30.555555555555557, 47.22222222222222]","[100, 100, 100, 100, 50, 0, 0, 100, 0, 100, 100, 0, 100, 50, 100, 0, 100, nan, 100, 100, 75, 100, 25, 0, 0, 100, 0, 100, 50, 0, 100, 25, 0, 0, 0, 0, 100, 100, 0, 100, 25, 0, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,73.33333333,100,100,80,40,35,"[25.0, 25.0, 50.0, 25.0, 50.0]",0,40,100,0,68.77572119,73.33333333,,,80,90.54527264,0,100,100,"[100, 100, 100, 100, 100]",66.66666667,100,100,100,100,100,100,100,0,0,0,55.55555556,"[100, 100, 100, 0, 100, 0, 100, 100, 100, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",55.55555556,,,999,999
MWI_001319,Sankhulani Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,21583,100,100,100,100,100,53.55059524,49.33333333,"[60.0, 60.0, 60.0, 80.0, 80.0, 50.0, 50.0, 50.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",68,30,50,57.76785714,"[40.625, 85.71428571428571, 78.125, 40.625, 43.75]","[100, 100, 25, nan, 0, 0, 0, 100, 0, 100, 100, 100, nan, nan, 100, 100, 100, 0, 100, 100, 0, nan, 25, 100, 100, 100, 100, 100, 100, 25, nan, 0, 0, 0, 100, 0, 100, 100, 25, nan, 25, 0, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,73.33333333,100,,100,20,30,"[25.0, 25.0, 25.0, 50.0, 25.0]",20,0,100,0,74.48462929,73.33333333,50,100,40,98.05907173,60,100,100,"[100, 100, 100, 100, 100]",16.66666667,100,100,100,100,100,100,100,,,,18.18181818,"[0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 100]",,18.18181818,,999,999
MWI_000383,Ekwendeni Mission Hospital,North Zone,Mzimba,SECONDARY,OTHER (SPECIFY),Community Hospital,MISSION/FAITH-BASED,,PERIURBAN,BOTH OUT AND INPATIENT,PRIMARY,75000,100,100,100,100,100,62.46527778,43.33333333,"[80.0, 80.0, 80.0, 80.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",80,0,50,81.59722222,"[63.888888888888886, 66.66666666666667, 83.33333333333333, 97.22222222222223, 96.875]","[100, 100, 50, 100, 25, 100, 0, 100, 0, 100, 75, 75, 100, 50, 100, 0, 100, 0, 100, 100, 75, 100, 75, 100, 100, 100, 0, 100, 100, 100, 100, 75, 100, 100, 100, 100, 100, 100, 100, 100, 75, 100, 100, 100, nan]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,50,"[75.0, 25.0, 75.0, 50.0, 25.0]",40,0,100,60,72.3493568,66.66666667,100,28.33333333,80,96.44549763,60,75,100,"[100, 100, 100, 100, 100]",100,100,100,100,100,100,100,100,0,0,0,59.25925926,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 100]",59.25925926,,,999,78
MWI_001349,Sr. Tereza Rural Hospital,Central West Zone,Ntcheu,SECONDARY,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,6234,100,100,100,100,100,82.22222222,86.66666667,"[70.0, 70.0, 70.0, 70.0, 70.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 50.0, 100.0, 100.0, 100.0]",70,100,90,77.77777778,"[88.88888888888889, 80.55555555555556, 77.77777777777777, 58.333333333333336, 83.33333333333333]","[100, 100, 100, 100, 100, 100, 100, 100, 0, 75, 100, 50, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 50, 25, 50, 0, 100, 100, 100, 0, 100, 75, 100, 100, 75, 100, 100, 100, 0]",75,"[100, 100, 0, 100]",100,100,0,100,66.66666667,100,,100,0,70,"[75.0, 75.0, 50.0, 75.0, 75.0]",100,60,20,100,92.09235209,66.66666667,100,100,100,97.97979798,80,100,20,"[0, 100, 0, 0, 0]",83.33333333,100,100,100,100,100,100,100,100,100,100,48.14814815,"[100, 0, 0, 0, 100, 0, 100, 100, 0, 0, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",48.14814815,,21.31147541,61,13
MWI_000053,Balaka District Hospital,South East Zone,Balaka,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,580000,100,100,100,100,100,54.16666667,53.33333333,"[60.0, 60.0, 60.0, 60.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",60,50,50,55,"[55.55555555555556, 44.44444444444444, 77.77777777777777, 36.111111111111114, 61.111111111111114]","[100, 100, 100, 100, 0, 100, 0, 0, 0, 100, 100, 0, 100, 0, 100, 0, 0, 0, 100, 100, 100, 100, 100, 100, 0, 100, 0, 100, 100, 0, 25, 0, 0, 0, 100, 0, 100, 100, 100, 50, 0, 100, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,45,"[25.0, 50.0, 75.0, 25.0, 50.0]",40,0,100,40,64.18379997,66.66666667,93.33333333,31.71428571,20,97.57231405,40,100,100,"[100, 100, 100, 100, 100]",100,100,100,100,100,100,100,100,50,0,100,59.25925926,"[100, 100, 100, 0, 100, 0, 100, 100, 0, 0, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 100]",59.25925926,,,999,999
MWI_000752,Machinga District Hospital,South East Zone,Machinga,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,64428,100,100,100,100,100,63.88320707,61.03030303,"[50.0, 60.0, 45.45454545454545, 50.0, 60.0, 0.0, 100.0, 100.0, 100.0, 100.0, 50.0, 50.0, 50.0, 50.0, 50.0]",53.09090909,80,50,66.73611111,"[75.0, 87.5, 55.55555555555556, 53.125, 62.5]","[100, 100, 100, 100, 0, 100, 0, 100, nan, 100, 100, 100, 100, 100, 100, 0, 100, nan, 100, 100, 100, 100, 0, 100, 0, 0, 0, 100, 100, 25, 100, 0, 0, 0, 100, nan, 100, 100, 100, 100, 0, 0, 0, 100, nan]",100,"[100, 100, 100, 100]",100,100,100,100,63.33333333,100,100,80,0,50,"[75.0, 25.0, 25.0, 50.0, 75.0]",40,0,100,60,63.86165278,63.33333333,86.48648649,46.875,0,90.33674963,60,100,100,"[100, 100, 100, 100, 100]",83.33333333,85.71428571,100,100,0,100,100,100,50,100,0,70.37037037,"[100, 100, 100, 0, 100, 0, 100, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 0, 100, 100, 100, 0, 0, 100, 100, 100, 100]",70.37037037,,,999,999
MWI_000360,Dwambazi Rural Hospital,Central East Zone,Nkhotakota,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,21950,100,100,100,100,100,55.38888889,34.66666667,"[30.0, 40.0, 60.0, 70.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0]",54,0,50,76.11111111,"[83.33333333333333, 66.66666666666667, 88.88888888888889, 55.55555555555556, 86.11111111111111]","[100, 100, 100, 100, 50, 100, 100, 100, 0, 100, 100, 100, 100, 0, 100, 0, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 25, 100, 50, 100, 100, 100, 100]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,40,"[25.0, 50.0, 25.0, 25.0, 75.0]",20,80,20,40,76.28229767,66.66666667,50,100,80,97.30941704,100,40,20,"[0, 0, 0, 0, 100]",50,57.14285714,100,100,0,100,100,0,50,0,100,54.54545455,"[100, 100, 0, 0, 100, 0, 100, 100, 100, 0, 0]",,54.54545455,43.75,80,35
MWI_000898,Mchinji District Hospital,Central West Zone,Mchinji,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,65973,100,100,100,100,100,53.61111111,60,"[40.0, 60.0, 60.0, 60.0, 80.0, 0.0, 50.0, 0.0, 50.0, 50.0, 100.0, 50.0, 100.0, 100.0, 100.0]",60,30,90,47.22222222,"[58.333333333333336, 44.44444444444444, 27.77777777777778, 50.0, 55.55555555555556]","[50, 50, 25, 75, 25, 100, 100, 100, 0, 0, 50, 50, 100, 0, 100, 0, 100, 0, 50, 50, 0, 50, 0, 0, 0, 100, 0, 50, 50, 0, 50, 0, 100, 100, 100, 0, 50, 50, 50, 50, 0, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,100,100,0,20,"[0.0, 25.0, 25.0, 25.0, 25.0]",0,0,20,60,79.2749004,66.66666667,,,60,89.70783533,80,100,20,"[0, 0, 100, 0, 0]",66.66666667,100,100,100,100,100,100,100,100,100,100,55.55555556,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",55.55555556,,,999,999
MWI_000334,Dedza District Hospital,Central West Zone,Dedza,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,31643,100,100,100,100,100,62.54166667,58,"[70.0, 80.0, 60.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 50.0, 50.0, 50.0, 50.0]",64,50,60,67.08333333,"[77.77777777777777, 68.75, 66.66666666666667, 55.55555555555556, 66.66666666666667]","[100, 75, 100, 75, 50, 100, 100, 100, 0, 75, 50, 25, 100, nan, 100, 100, 100, 0, 75, 50, 50, 75, 50, 100, 100, 100, 0, 50, 50, 0, 50, 50, 100, 100, 100, 0, 100, 50, 50, 100, 0, 100, 100, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,10,"[25.0, 25.0, 0.0, 0.0, 0.0]",0,0,40,0,71.98278181,66.66666667,80,100,40,77.21280603,40,100,40,"[100, 100, 0, 0, 0]",66.66666667,100,100,100,100,100,100,100,100,100,100,51.85185185,"[100, 100, 100, 0, 100, 100, 0, 100, 0, 0, 0, 100, 100, 0, 0, 100, 100, 0, 100, 100, 0, 0, 0, 100, 100, 0, 0]",51.85185185,,,999,999
MWI_001030,Mtendere Health Centre,Central West Zone,Dedza,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,82298,100,100,100,100,100,60.22222222,56,"[70.0, 80.0, 80.0, 80.0, 80.0, 50.0, 50.0, 50.0, 0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",78,40,50,64.44444444,"[72.22222222222223, 61.111111111111114, 66.66666666666667, 66.66666666666667, 55.55555555555556]","[100, 100, 50, 100, 0, 100, 100, 100, 0, 100, 100, 50, 100, 0, 100, 0, 100, 0, 100, 100, 0, 100, 0, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 100, 100, 0, 100, 100, 0, 100, 0, 100, 0, 100, 0]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,25,"[25.0, 25.0, 25.0, 25.0, 25.0]",40,0,0,60,84.10673609,66.66666667,100,43.33333333,80,98.74715262,100,100,0,"[0, 0, 0, 0, 0]",100,100,100,100,100,100,100,100,0,0,0,62.96296296,"[100, 100, 100, 0, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 100, 100, 100, 100, 100, 100, 0, 0, 0, 100, 100, 0, 0]",62.96296296,,30.68181818,88,27
MWI_000770,Madziabango Health Centre,South West Zone,Blantyre,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,13006,100,100,100,100,100,72.13675214,65.38461538,"[60.0, 60.0, 60.0, 60.0, 60.0, 50.0, 50.0, 50.0, 50.0, 50.0, 100.0, 100.0, 100.0]",60,50,100,78.88888889,"[66.66666666666667, 83.33333333333333, 100.0, 55.55555555555556, 88.88888888888889]","[100, 100, 50, 100, 50, 100, 0, 100, 0, 100, 100, 100, 100, 50, 100, 0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 0, 0, 0, 100, 0, 100, 100, 100, 100, 0, 100, 100, 100, 100]",100,"[100, 100, 100, 100]",100,100,100,100,66.66666667,100,,100,0,70,"[50.0, 50.0, 75.0, 100.0, 75.0]",20,80,100,80,91.78845732,66.66666667,100,100,80,95.85253456,100,100,100,"[100, 100, 100, 100, 100]",16.66666667,100,100,100,100,100,100,100,,,,36.36363636,"[100, 100, 0, 0, 100, 0, 0, 0, 0, 0, 100]",,36.36363636,36.23188406,69,25
