Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002,Facility_Score,HW_Competence_Score,Patient_Centeredness_Score,iss_score,HTM-ANC,system_CHW_score,facility_composite,HTM-ANC,presence_score,caseload,ANC_score,DPT_score,TB_treatment_completion,ART_retention,CHW_count,CHW_paid,CLM_score,guideline_score,oxygen_score,vacancy_score,all_funded_posts,all_unfilled_posts
MWI_000499,Kalikumbi Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,22962,55.45454545454545,30.90909090909091,80.0,50.0,66.66666666666667,70.0,75.92909719092685,66.66666666666667,100.0,70.0,40.0,88.17034700315457,100.0,66.66666666666667,5.0,60.0,100.0,100.0,100.0,67.64705882352942,34.0,11.0
MWI_001098,Mzuzu Cental Hospital,North Zone,Mzimba,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9,57.882575757575765,41.333333333333336,74.43181818181819,75.0,60.000000000000014,60.0,50.82352941176471,60.000000000000014,,,0.0,94.11764705882352,100.0,0.0,5.0,60.0,50.0,100.0,100.0,,999.0,999.0
MWI_001410,Thekerani Rural Hospital,South West Zone,Thyolo,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,19780,47.16666666666667,46.0,48.333333333333336,66.66666666666667,66.66666666666667,50.0,84.51082251082252,66.66666666666667,50.0,100.0,80.0,94.9090909090909,100.0,100.0,5.0,20.0,100.0,100.0,100.0,,999.0,999.0
MWI_000845,Mase Health Centre,South East Zone,Mangochi,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,41410,59.12337662337663,53.24675324675325,65.0,100.0,50.0,75.0,54.16666666666667,50.0,0.0,,80.0,86.66666666666667,,,5.0,40.0,100.0,100.0,,79.3103448275862,29.0,6.0
MWI_001191,Nkhamenya Rural Hospital,Central East Zone,Kasungu,SECONDARY,OTHER (SPECIFY),Community Hospital,MISSION/FAITH-BASED,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,64700,57.388888888888886,40.888888888888886,73.88888888888889,100.0,66.66666666666667,75.0,52.82238381390026,66.66666666666667,76.66666666666667,10.217391304347828,20.0,96.2059620596206,0.0,100.0,5.0,100.0,100.0,100.0,100.0,80.0,105.0,21.0
MWI_000961,Mlale Mission Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER (SPECIFY),Community hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,24990,64.66666666666667,48.22222222222222,81.11111111111111,100.0,66.66666666666667,25.0,68.7007217205237,66.66666666666667,75.0,100.0,20.0,99.23838537699923,20.0,100.0,5.0,0.0,100.0,100.0,100.0,70.83333333333333,144.0,42.0
MWI_000846,Masenjere Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,22302,42.693693693693696,31.333333333333332,54.054054054054056,75.0,66.66666666666667,60.0,69.44444444444444,66.66666666666667,50.0,100.0,100.0,,0.0,100.0,5.0,100.0,100.0,100.0,,96.0,25.0,1.0
MWI_000855,Matapila Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,36291,47.61363636363636,35.0,60.22727272727273,75.0,60.0,45.0,68.92966360856269,60.0,100.0,90.0,20.0,93.57798165137613,50.0,,5.0,40.0,16.666666666666664,100.0,,,44.0,999.0
MWI_000509,Kaluluma Rural Hospital,Central East Zone,Kasungu,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,14953,60.33333333333333,50.666666666666664,70.0,100.0,53.333333333333336,60.0,58.61952861952862,53.333333333333336,33.33333333333333,100.0,40.0,83.67003367003367,100.0,0.0,5.0,80.0,66.66666666666666,100.0,,69.23076923076923,13.0,4.0
MWI_001047,Mulibwanji Hospital,South East Zone,Mangochi,SECONDARY,OTHER (SPECIFY),Rural Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9779,60.888888888888886,50.666666666666664,71.11111111111111,100.0,66.66666666666667,50.0,70.14669374858948,66.66666666666667,100.0,100.0,0.0,84.36018957345972,40.0,100.0,4.0,50.0,100.0,100.0,,71.31782945736434,129.0,37.0
MWI_000803,Malamulo Mission Hospital,South West Zone,Thyolo,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,47000,83.22222222222223,82.0,84.44444444444444,100.0,66.66666666666667,70.0,78.43401788837255,66.66666666666667,100.0,100.0,60.0,82.37145855194123,40.0,100.0,5.0,80.0,100.0,100.0,100.0,71.96652719665272,239.0,67.0
MWI_001019,Msese Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,10620,39.69318181818181,22.0,57.38636363636363,33.333333333333336,66.66666666666667,58.333333333333336,64.44444444444444,66.66666666666667,50.0,100.0,20.0,100.0,,50.0,3.0,33.333333333333336,50.0,100.0,,52.63157894736843,38.0,18.0
MWI_000636,Koche Community Hospital,South East Zone,Mangochi,SECONDARY,OTHER (SPECIFY),Community hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,53323,78.03030303030303,92.72727272727273,63.333333333333336,100.0,66.66666666666667,60.0,66.59564117532595,66.66666666666667,50.0,100.0,0.0,82.90718038528897,100.0,,5.0,40.0,100.0,100.0,100.0,47.28682170542635,129.0,68.0
MWI_000325,Daeyang Luke Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,46007,59.777777777777786,37.333333333333336,82.22222222222223,100.0,66.66666666666667,35.0,61.249506415350865,66.66666666666667,100.0,43.57142857142857,40.0,78.50844966936077,0.0,100.0,5.0,0.0,100.0,100.0,100.0,80.0,225.0,45.0
MWI_000299,Chiwamba Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,59389,46.92161929371231,35.7037037037037,58.13953488372093,50.0,63.333333333333336,75.0,90.99120456263313,63.333333333333336,75.0,100.0,100.0,98.6050986050986,100.0,100.0,5.0,100.0,66.66666666666666,100.0,100.0,50.0,8.0,4.0
MWI_000776,Magaleta Health Centre,South West Zone,Neno,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,7547,52.07431457431457,40.25974025974026,63.888888888888886,75.0,50.0,85.0,52.5,50.0,0.0,,60.0,100.0,,,5.0,60.0,83.33333333333334,100.0,100.0,83.33333333333334,42.0,7.0
MWI_000314,Chulu Health Centre,Central East Zone,Kasungu,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,40561,46.039944903581265,30.41322314049587,61.666666666666664,100.0,58.333333333333336,50.0,63.76986326681448,58.333333333333336,100.0,96.36363636363637,0.0,91.6920731707317,100.0,0.0,4.0,50.0,83.33333333333334,100.0,,,999.0,999.0
MWI_001160,Neno District Hospital,South West Zone,Neno,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,19157,65.55555555555556,73.33333333333333,57.77777777777778,100.0,66.66666666666667,60.0,70.12981859410431,66.66666666666667,71.42857142857143,80.75,0.0,92.06349206349206,100.0,80.0,5.0,100.0,100.0,100.0,100.0,,999.0,999.0
MWI_001203,Nkhulambe,South East Zone,Phalombe,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,26780,53.598901098901095,51.42857142857143,55.76923076923077,75.0,66.66666666666667,70.0,62.91666666666667,66.66666666666667,,,60.0,,25.0,100.0,5.0,100.0,100.0,100.0,,,999.0,999.0
MWI_000453,Holy Family Mission,South East Zone,Phalombe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,41755,75.01010101010101,73.35353535353535,76.66666666666667,100.0,56.66666666666667,75.0,58.12439683458792,56.66666666666667,100.0,17.5,40.0,92.70411117544876,0.0,100.0,5.0,100.0,100.0,100.0,100.0,89.77777777777777,225.0,23.0
MWI_000113,Bua Health Centre,Central East Zone,Kasungu,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,54716,48.81481481481481,34.666666666666664,62.96296296296296,75.0,66.66666666666667,56.25,53.66421066994133,66.66666666666667,100.0,15.0,0.0,93.98280802292264,100.0,0.0,4.0,50.0,100.0,100.0,,84.21052631578947,57.0,9.0
MWI_000479,Kabudula Rural Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER (SPECIFY),Community hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,56683,67.22222222222223,70.0,64.44444444444444,100.0,60.0,35.0,71.11535807187981,60.0,100.0,100.0,60.0,97.80750650315868,0.0,80.0,5.0,0.0,100.0,100.0,100.0,,999.0,999.0
MWI_001360,St. Annes Hospital,Central East Zone,Nkhotakota,SECONDARY,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,42436,58.35470085470085,36.15384615384615,80.55555555555556,100.0,66.66666666666667,62.5,66.52750828684614,66.66666666666667,25.0,6.25,80.0,87.77589134125637,100.0,100.0,4.0,75.0,66.66666666666666,100.0,0.0,52.44444444444445,225.0,107.0
MWI_000700,Lisungwi Community Hospital,South West Zone,Neno,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,14540,67.44444444444444,69.33333333333333,65.55555555555556,100.0,60.000000000000014,70.0,70.18838304552591,60.000000000000014,38.46153846153847,100.0,20.0,92.85714285714286,80.0,100.0,5.0,100.0,100.0,100.0,,,999.0,999.0
MWI_001081,Mwanza District Hospital,South West Zone,Mwanza,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,86318,53.0,42.666666666666664,63.333333333333336,100.0,66.66666666666667,60.0,54.99496147789529,66.66666666666667,83.07692307692308,29.814814814814813,60.0,90.41136430896715,0.0,,5.0,0.0,100.0,100.0,100.0,,999.0,999.0
MWI_000794,Makungwa,South West Zone,Thyolo,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,19978,49.324561403508774,47.333333333333336,51.31578947368421,75.0,66.66666666666667,60.0,72.75132275132276,66.66666666666667,50.0,100.0,60.0,92.5925925925926,40.0,100.0,5.0,100.0,100.0,100.0,,94.28571428571428,35.0,2.0
MWI_001202,Nkhotakota District Hospital,Central East Zone,Nkhotakota,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,73989,55.16666666666667,35.333333333333336,75.0,100.0,33.333333333333336,55.0,60.51526993776234,33.333333333333336,100.0,100.0,0.0,90.27355623100304,100.0,0.0,5.0,60.0,100.0,100.0,100.0,,999.0,999.0
MWI_000588,Kasungu District Hospital,Central East Zone,Kasungu,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,116900,54.83333333333333,34.666666666666664,75.0,100.0,66.66666666666667,56.25,75.69598366900141,66.66666666666667,94.94949494949495,19.414893617021278,60.0,88.840830449827,100.0,100.0,4.0,75.0,100.0,100.0,100.0,,999.0,999.0
MWI_001162,New state house Clinic,Central West Zone,Lilongwe,PRIMARY,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,PRIMARY,6411,52.63636363636364,35.27272727272727,70.0,75.0,68.33333333333334,41.666666666666664,79.8063973063973,68.33333333333334,66.66666666666666,100.0,60.0,83.83838383838383,,100.0,3.0,66.66666666666667,0.0,100.0,100.0,92.85714285714286,14.0,1.0
MWI_000019,Alinafe Community Hospital,Central East Zone,Nkhotakota,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,INPATIENT ONLY,PRIMARY,18422,37.333333333333336,37.333333333333336,,66.66666666666667,66.66666666666667,55.0,80.34207353827607,66.66666666666667,100.0,100.0,0.0,95.72784810126582,100.0,100.0,5.0,40.0,100.0,100.0,100.0,70.73170731707317,123.0,36.0
MWI_001542,Phalombe District Hospital,South East Zone,Phalombe,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9,51.55555555555556,48.666666666666664,54.44444444444444,100.0,66.66666666666667,65.0,88.8107202680067,66.66666666666667,,,80.0,97.38693467336684,100.0,100.0,5.0,60.0,66.66666666666666,100.0,100.0,,999.0,999.0
MWI_000261,Chiradzulu District Hospital,South West Zone,Chiradzulu,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,35034,54.111111111111114,46.0,62.22222222222222,100.0,60.000000000000014,70.0,65.86696730552424,60.000000000000014,,,0.0,69.3348365276212,100.0,100.0,5.0,100.0,100.0,100.0,100.0,,999.0,999.0
MWI_000436,Gotha Estate Clinic,South West Zone,Thyolo,PRIMARY,CLINIC/DISPENSARY,,OTHER (SPECIFY),Eastern produce Malawi,RURAL,OUTPATIENT ONLY,PRIMARY,1550,37.22222222222222,10.0,64.44444444444444,33.333333333333336,,,88.33333333333333,,100.0,65.0,,,,100.0,0.0,,16.666666666666664,100.0,,62.5,8.0,3.0
MWI_001369,St. Joseph Hospital (Chiradzulu),South West Zone,Chiradzulu,SECONDARY,OTHER (SPECIFY),Mission Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,54172,50.1036036036036,34.666666666666664,65.54054054054055,75.0,53.333333333333336,70.0,75.21283314386763,53.333333333333336,53.84615384615385,25.714285714285715,100.0,93.59605911330048,100.0,100.0,5.0,100.0,16.666666666666664,100.0,100.0,81.77777777777777,225.0,41.0
MWI_001563,Mtengowanthenga Community Hospital,Central East Zone,Dowa,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,80172,56.22222222222223,41.333333333333336,71.11111111111111,100.0,60.000000000000014,60.0,70.86570277657891,60.000000000000014,75.0,25.833333333333336,80.0,75.22658610271904,80.0,100.0,5.0,60.0,100.0,100.0,100.0,82.94573643410853,129.0,22.0
MWI_000769,Madisi Mission Hospital,Central East Zone,Dowa,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,23848,67.38888888888889,58.666666666666664,76.11111111111111,66.66666666666667,66.66666666666667,50.0,67.09860935524652,66.66666666666667,100.0,28.333333333333336,0.0,94.69026548672566,100.0,80.0,5.0,0.0,100.0,100.0,100.0,60.0,250.0,100.0
MWI_000350,Dowa District Hospital,Central East Zone,Dowa,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,38340,53.992248062015506,53.333333333333336,54.651162790697676,100.0,66.66666666666667,55.0,77.65699548678273,66.66666666666667,,,100.0,91.61831076724694,80.0,50.0,5.0,80.0,100.0,100.0,100.0,,999.0,999.0
MWI_001293,Queen Elizabeth Central Hospital,South West Zone,Blantyre,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,3821,75.5,89.33333333333333,61.666666666666664,100.0,60.000000000000014,60.0,86.66666666666667,60.000000000000014,,,100.0,,100.0,,5.0,20.0,16.666666666666664,100.0,100.0,,999.0,999.0
MWI_001046,Mulanje Mission Hospital,South East Zone,Mulanje,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,100000,60.035353535353536,59.515151515151516,60.55555555555556,100.0,63.333333333333336,80.0,86.10185390217498,63.333333333333336,80.0,75.625,100.0,97.65279007971657,100.0,,5.0,20.0,83.33333333333334,100.0,100.0,100.0,225.0,0.0
MWI_001013,Mponela Rural Hospital,Central East Zone,Dowa,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,100326,85.27777777777777,86.66666666666667,83.88888888888889,100.0,66.66666666666667,65.0,80.17186097216879,66.66666666666667,100.0,0.0,100.0,94.53636013851481,100.0,100.0,5.0,60.0,100.0,100.0,,63.991769547325106,486.0,175.0
MWI_000237,Chingadzi Rural Hospital,South West Zone,Thyolo,SECONDARY,OTHER (SPECIFY),Rural Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,8375,53.03703703703704,32.0,74.07407407407408,100.0,66.66666666666667,50.0,65.81999029597283,66.66666666666667,50.0,60.0,20.0,98.2532751091703,,100.0,5.0,80.0,100.0,100.0,,38.759689922480625,129.0,79.0
MWI_001422,Thuchila Health Centre,South East Zone,Mulanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,43035,58.75,57.5,60.0,100.0,66.66666666666667,65.0,58.1769722814499,66.66666666666667,50.0,0.0,40.0,92.3951670220327,100.0,,5.0,0.0,100.0,100.0,100.0,61.40350877192983,57.0,22.0
MWI_000136,Chavala Health Centre,South West Zone,Blantyre,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,15702,58.117886178861795,47.333333333333336,68.90243902439025,100.0,66.66666666666667,50.0,84.52203269367449,66.66666666666667,66.66666666666666,100.0,60.0,98.32089552238806,100.0,100.0,5.0,100.0,100.0,100.0,100.0,93.75,32.0,2.0
MWI_001038,Mtosa Health Centre,Central East Zone,Nkhotakota,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17674,51.166666666666664,29.0,73.33333333333333,66.66666666666667,66.66666666666667,41.666666666666664,66.3279132791328,66.66666666666667,50.0,100.0,0.0,81.30081300813008,,100.0,3.0,0.0,66.66666666666666,100.0,,46.875,64.0,34.0
MWI_000963,Mlanda Health Centre,Central West Zone,Ntcheu,PRIMARY,HEALTH CENTRE,,MISSION/FAITH-BASED,,RURAL,OUTPATIENT ONLY,PRIMARY,7192,51.507936507936506,38.57142857142857,64.44444444444444,100.0,46.66666666666667,90.0,57.11961301671065,46.66666666666667,100.0,45.0,0.0,93.93139841688655,,,5.0,100.0,100.0,100.0,,80.0,35.0,7.0
MWI_001225,Ntcheu District Hospital,Central West Zone,Ntcheu,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,67285,54.33333333333333,48.666666666666664,60.0,100.0,66.66666666666667,60.0,69.03067484662577,66.66666666666667,,,20.0,98.48670756646217,60.0,100.0,5.0,40.0,100.0,100.0,100.0,,999.0,999.0
MWI_000947,Mkanda Health Centre,Central West Zone,Mchinji,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,49453,40.22222222222222,32.666666666666664,47.77777777777778,100.0,66.66666666666667,35.0,80.5155457821758,66.66666666666667,100.0,100.0,20.0,96.42660802638812,100.0,,5.0,20.0,100.0,100.0,,,999.0,999.0
MWI_001045,Mulanje District Hospital,South East Zone,Mulanje,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,44448,53.38034188034189,36.88888888888889,69.87179487179488,100.0,60.000000000000014,62.5,83.99270304568527,60.000000000000014,,,80.0,95.97081218274111,100.0,,4.0,100.0,100.0,100.0,100.0,,999.0,999.0
MWI_001444,Tsangano Health Centre,Central West Zone,Ntcheu,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,41819,50.96899224806202,33.333333333333336,68.6046511627907,100.0,66.66666666666667,50.0,38.402727051375706,66.66666666666667,0.0,,80.0,25.346968590211837,20.0,,5.0,100.0,100.0,100.0,,76.31578947368422,38.0,9.0
MWI_000007,ABC Comm. Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,999,69.94444444444444,76.0,63.888888888888886,100.0,66.66666666666667,80.0,80.77895801719777,66.66666666666667,100.0,100.0,0.0,98.78603945371776,100.0,100.0,5.0,40.0,16.666666666666664,100.0,100.0,71.31782945736434,129.0,37.0
MWI_001226,Ntchisi District Hospital,Central East Zone,Ntchisi,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,63000,53.333333333333336,43.333333333333336,63.333333333333336,100.0,66.66666666666667,45.0,83.63512361466326,66.66666666666667,,,60.0,91.50895140664962,100.0,100.0,5.0,40.0,83.33333333333334,100.0,,,999.0,999.0
MWI_000877,Mbang'ombe 2 Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,26893,55.166666666666664,27.0,83.33333333333333,66.66666666666667,66.66666666666667,75.0,77.33605164797825,66.66666666666667,100.0,100.0,0.0,97.34964322120285,,100.0,2.0,50.0,66.66666666666666,100.0,,45.45454545454546,66.0,36.0
MWI_000542,Kanyama Health Centre,Central West Zone,Dedza,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,25954,55.05555555555556,29.0,81.11111111111111,75.0,66.66666666666667,65.0,75.62640400898566,66.66666666666667,100.0,100.0,0.0,87.09175738724728,,100.0,5.0,40.0,100.0,100.0,100.0,70.83333333333333,48.0,14.0
MWI_000528,Kamuzu Barracks Hospital,Central West Zone,Lilongwe,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,26934,73.94444444444446,80.66666666666667,67.22222222222223,50.0,66.66666666666667,50.0,80.19953051643192,66.66666666666667,,35.0,80.0,99.53051643192488,100.0,100.0,4.0,75.0,50.0,100.0,100.0,,999.0,999.0
MWI_001428,Thyolo District Hospital,South West Zone,Thyolo,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,63731,70.44444444444444,72.0,68.88888888888889,100.0,60.000000000000014,80.0,79.02576149850117,60.000000000000014,100.0,37.31481481481482,80.0,95.86551567469333,80.0,100.0,5.0,80.0,100.0,100.0,,,999.0,999.0
MWI_000122,Bwaila Hospital,Central West Zone,Lilongwe,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,130615,66.3989898989899,72.24242424242424,60.55555555555556,75.0,56.66666666666667,50.0,83.55061450417489,56.66666666666667,,,100.0,81.08640585420771,80.0,100.0,5.0,100.0,100.0,100.0,100.0,,999.0,999.0
MWI_000529,Kamuzu Central Hospital,Central West Zone,Lilongwe,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,27325,69.92063492063492,74.28571428571429,65.55555555555556,100.0,66.66666666666667,75.0,67.33029381965552,66.66666666666667,100.0,0.0,80.0,49.64539007092199,75.0,100.0,5.0,60.0,16.666666666666664,100.0,,,999.0,999.0
MWI_000496,Kalemba Community Hospital,South West Zone,Nsanje,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,38701,63.484848484848484,63.63636363636363,63.333333333333336,100.0,66.66666666666667,90.0,75.45463452870861,66.66666666666667,50.0,100.0,40.0,96.06114050558496,100.0,,5.0,60.0,100.0,100.0,100.0,58.914728682170534,129.0,53.0
MWI_000273,Chisitu Health Centre,South East Zone,Mulanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,30718,59.04545454545455,46.42424242424242,71.66666666666667,100.0,63.333333333333336,70.0,72.83795242558129,63.333333333333336,50.0,100.0,20.0,96.5323336457357,100.0,80.0,5.0,80.0,100.0,100.0,,,45.0,999.0
