SubmissionDate,SubmissionDate
PE_Begin_2,"ENUMERATOR, DO HAVE PATIENT FOR THE EXIT INTERVIEWS? "
PE_1_2,"PE_1 Hello, my name is [surveyor], and I am surveyor. Did you come to this health facility to seek health care? "
PE_2_2,PE_2 Did you have a consultation with a health worker during your visit to the health facility today?
PE_CONSENT_2,"PE_CONSENT_2 Signature of patient (or patient’s caregiver, if the patient is a child) authorizing data collection."
PE_CONSENT_1_2,"PE_CONSENT_1 Signature of surveyor indicating informed consent was read and agreed by the patient or patient’s caregiver, if the patient is a child."
PE_CONSENT_2_2,"CONSENT 
The [survey manager and survey implementer] in close collaboration with the [other relevant entities] are working to collect information from patients about health services. The survey is part of the [government’s] ongoing efforts to understand the quality of health services. I would now like to ask you some questions about your visit to the health facility today. This may take from 10 to 15 minutes. I will not record your name, and your responses will be kept confidential. Your participation and your responses will not affect the care you might receive at this health facility in the future. Your participation in this survey is voluntary. You may choose not to participate at all, and you may stop at any time before the end of the survey. You may choose not to answer any question that you are not comfortable with. In case you have any questions about this survey at any time, please feel free to contact any of the following people:

[LIST NAMES AND PHONE NUMBERS OF SURVEY MANAGEMENT PERSONS WHO CAN BE CONTACTED]

Do I have your agreement to proceed?"
PE_CONSENT_3_2,"PE_CONSENT_3 Consent given by patient or patient’s caregiver, if the patient is a child?"
PREQ132_2,"PREQ132 During your visit to the health facility today, did your primary care professionals speak to you in a way you could understand?"
PREQ122_2,"PREQ122 During your visit to the health facility today, did your primary care professionals treat you with respect?"
tHFA_D006_2,"tHFA_D006 Thinking about your visit today, did you feel that any of the workers at the health facility shouted at you, scolded you, insulted you, threatened you, or talked to you rudely?"
PREQ125_2,"PREQ125 During your visit to the health facility today, did you feel like you were involved in making decisions about your care as much as you wanted?"
PREQ119_2,"PREQ119 During your visit to the health facility today, did you believe your primary care professionals would keep your information confidential?"
PREQ129_2,"PREQ129 During your visit to the health facility today, did your primary care professionals discuss with you the care and support you receive from family members, friends, and others?"
tHFA_D001_2,tHFA_D001 What is your age (or the child’s age if the patient is a child)? In completed years
tHFA_D002_2,tHFA_D002 Record the patient’s sex
tHFA_D003_2,"tHFA_D003 During your visit to the health facility today, did your primary care professionals tell you what illness you/your child has?"
tHFA_D004_2,"tHFA_D004 During your visit to the health facility today, did your primary care professionals tell you about any illness signs or symptoms for which you must immediately come or bring the child back to a health facility?  "
tHFA_D005_2,"tHFA_D005 IF YES, ASK: Can you tell me one of these signs or symptoms?"
tHFA_D011_2,tHFA_D011 What are the key challenges/issues that you face while seeking care at this facility.?
tHFA_D011_TOO_EXPENSIVE_2,tHFA_D011_TOO_EXPENSIVE_2
tHFA_D011_TOO_FAR_2,tHFA_D011_TOO_FAR_2
tHFA_D011_LONG_WAITING_TIME_2,tHFA_D011_LONG_WAITING_TIME_2
tHFA_D011_FACILITY_OFTEN_CLOSED_2,tHFA_D011_FACILITY_OFTEN_CLOSED_2
tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_2,tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_2
tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_2,tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_2
tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_2,tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_2
tHFA_D011_POOR_QUALITY_OF_CARE_2,tHFA_D011_POOR_QUALITY_OF_CARE_2
tHFA_D011_OTHERS_SPECIFY__2,tHFA_D011_OTHERS_SPECIFY__2
tHFA_D011_DON_T_KNOW_2,tHFA_D011_DON_T_KNOW_2
tHFA_D011_1_2,tHFA_D011_1 Please specify Other
PE_Begin_3,"ENUMERATOR, DO HAVE PATIENT FOR THE EXIT INTERVIEWS? "
PE_1_3,"PE_1 Hello, my name is [surveyor], and I am surveyor. Did you come to this health facility to seek health care? "
PE_2_3,PE_2 Did you have a consultation with a health worker during your visit to the health facility today?
PE_CONSENT_3,"PE_CONSENT_3 Consent given by patient or patient’s caregiver, if the patient is a child?"
PE_CONSENT_1_3,"PE_CONSENT_1 Signature of surveyor indicating informed consent was read and agreed by the patient or patient’s caregiver, if the patient is a child."
PE_CONSENT_2_3,"PE_CONSENT_2 Signature of patient (or patient’s caregiver, if the patient is a child) authorizing data collection."
PE_CONSENT_3_3,"CONSENT 
The [survey manager and survey implementer] in close collaboration with the [other relevant entities] are working to collect information from patients about health services. The survey is part of the [government’s] ongoing efforts to understand the quality of health services. I would now like to ask you some questions about your visit to the health facility today. This may take from 10 to 15 minutes. I will not record your name, and your responses will be kept confidential. Your participation and your responses will not affect the care you might receive at this health facility in the future. Your participation in this survey is voluntary. You may choose not to participate at all, and you may stop at any time before the end of the survey. You may choose not to answer any question that you are not comfortable with. In case you have any questions about this survey at any time, please feel free to contact any of the following people:

[LIST NAMES AND PHONE NUMBERS OF SURVEY MANAGEMENT PERSONS WHO CAN BE CONTACTED]

Do I have your agreement to proceed?"
PREQ132_3,"PREQ132 During your visit to the health facility today, did your primary care professionals speak to you in a way you could understand?"
PREQ122_3,"PREQ122 During your visit to the health facility today, did your primary care professionals treat you with respect?"
tHFA_D006_3,"tHFA_D006 Thinking about your visit today, did you feel that any of the workers at the health facility shouted at you, scolded you, insulted you, threatened you, or talked to you rudely?"
PREQ125_3,"PREQ125 During your visit to the health facility today, did you feel like you were involved in making decisions about your care as much as you wanted?"
PREQ119_3,"PREQ119 During your visit to the health facility today, did you believe your primary care professionals would keep your information confidential?"
PREQ129_3,"PREQ129 During your visit to the health facility today, did your primary care professionals discuss with you the care and support you receive from family members, friends, and others?"
tHFA_D001_3,tHFA_D001 What is your age (or the child’s age if the patient is a child)? In completed years
tHFA_D002_3,tHFA_D002 Record the patient’s sex
tHFA_D003_3,"tHFA_D003 During your visit to the health facility today, did your primary care professionals tell you what illness you/your child has?"
tHFA_D004_3,"tHFA_D004 During your visit to the health facility today, did your primary care professionals tell you about any illness signs or symptoms for which you must immediately come or bring the child back to a health facility?  "
tHFA_D005_3,"tHFA_D005 IF YES, ASK: Can you tell me one of these signs or symptoms?"
tHFA_D011_3,tHFA_D011 What are the key challenges/issues that you face while seeking care at this facility.?
tHFA_D011_TOO_EXPENSIVE_3,tHFA_D011_TOO_EXPENSIVE_3
tHFA_D011_TOO_FAR_3,tHFA_D011_TOO_FAR_3
tHFA_D011_LONG_WAITING_TIME_3,tHFA_D011_LONG_WAITING_TIME_3
tHFA_D011_FACILITY_OFTEN_CLOSED_3,tHFA_D011_FACILITY_OFTEN_CLOSED_3
tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_3,tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_3
tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_3,tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_3
tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_3,tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_3
tHFA_D011_POOR_QUALITY_OF_CARE_3,tHFA_D011_POOR_QUALITY_OF_CARE_3
tHFA_D011_OTHERS_SPECIFY__3,tHFA_D011_OTHERS_SPECIFY__3
tHFA_D011_DON_T_KNOW_3,tHFA_D011_DON_T_KNOW_3
tHFA_D011_1_3,tHFA_D011_1 Please specify Other
PE_Begin_4,"ENUMERATOR, DO HAVE PATIENT FOR THE EXIT INTERVIEWS? "
PE_1_4,"PE_1 Hello, my name is [surveyor], and I am surveyor. Did you come to this health facility to seek health care? "
PE_2_4,PE_2 Did you have a consultation with a health worker during your visit to the health facility today?
PE_CONSENT_4,"CONSENT 
The [survey manager and survey implementer] in close collaboration with the [other relevant entities] are working to collect information from patients about health services. The survey is part of the [government’s] ongoing efforts to understand the quality of health services. I would now like to ask you some questions about your visit to the health facility today. This may take from 10 to 15 minutes. I will not record your name, and your responses will be kept confidential. Your participation and your responses will not affect the care you might receive at this health facility in the future. Your participation in this survey is voluntary. You may choose not to participate at all, and you may stop at any time before the end of the survey. You may choose not to answer any question that you are not comfortable with. In case you have any questions about this survey at any time, please feel free to contact any of the following people:

[LIST NAMES AND PHONE NUMBERS OF SURVEY MANAGEMENT PERSONS WHO CAN BE CONTACTED]

Do I have your agreement to proceed?"
PE_CONSENT_1_4,"PE_CONSENT_1 Signature of surveyor indicating informed consent was read and agreed by the patient or patient’s caregiver, if the patient is a child."
PE_CONSENT_2_4,"PE_CONSENT_2 Signature of patient (or patient’s caregiver, if the patient is a child) authorizing data collection."
PE_CONSENT_3_4,"PE_CONSENT_3 Consent given by patient or patient’s caregiver, if the patient is a child?"
PREQ132_4,"PREQ132 During your visit to the health facility today, did your primary care professionals speak to you in a way you could understand?"
PREQ122_4,"PREQ122 During your visit to the health facility today, did your primary care professionals treat you with respect?"
tHFA_D006_4,"tHFA_D006 Thinking about your visit today, did you feel that any of the workers at the health facility shouted at you, scolded you, insulted you, threatened you, or talked to you rudely?"
PREQ125_4,"PREQ125 During your visit to the health facility today, did you feel like you were involved in making decisions about your care as much as you wanted?"
PREQ119_4,"PREQ119 During your visit to the health facility today, did you believe your primary care professionals would keep your information confidential?"
PREQ129_4,"PREQ129 During your visit to the health facility today, did your primary care professionals discuss with you the care and support you receive from family members, friends, and others?"
tHFA_D001_4,tHFA_D001 What is your age (or the child’s age if the patient is a child)? In completed years
tHFA_D002_4,tHFA_D002 Record the patient’s sex
tHFA_D003_4,"tHFA_D003 During your visit to the health facility today, did your primary care professionals tell you what illness you/your child has?"
tHFA_D004_4,"tHFA_D004 During your visit to the health facility today, did your primary care professionals tell you about any illness signs or symptoms for which you must immediately come or bring the child back to a health facility?  "
tHFA_D005_4,"tHFA_D005 IF YES, ASK: Can you tell me one of these signs or symptoms?"
tHFA_D011_4,tHFA_D011 What are the key challenges/issues that you face while seeking care at this facility.?
tHFA_D011_TOO_EXPENSIVE_4,tHFA_D011_TOO_EXPENSIVE_4
tHFA_D011_TOO_FAR_4,tHFA_D011_TOO_FAR_4
tHFA_D011_LONG_WAITING_TIME_4,tHFA_D011_LONG_WAITING_TIME_4
tHFA_D011_FACILITY_OFTEN_CLOSED_4,tHFA_D011_FACILITY_OFTEN_CLOSED_4
tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_4,tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_4
tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_4,tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_4
tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_4,tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_4
tHFA_D011_POOR_QUALITY_OF_CARE_4,tHFA_D011_POOR_QUALITY_OF_CARE_4
tHFA_D011_OTHERS_SPECIFY__4,tHFA_D011_OTHERS_SPECIFY__4
tHFA_D011_DON_T_KNOW_4,tHFA_D011_DON_T_KNOW_4
tHFA_D011_1_4,tHFA_D011_1 Please specify Other
PE_Begin_5,"ENUMERATOR, DO HAVE PATIENT FOR THE EXIT INTERVIEWS? "
PE_1_5,"PE_1 Hello, my name is [surveyor], and I am surveyor. Did you come to this health facility to seek health care? "
PE_2_5,PE_2 Did you have a consultation with a health worker during your visit to the health facility today?
PE_CONSENT_5,"CONSENT 
The [survey manager and survey implementer] in close collaboration with the [other relevant entities] are working to collect information from patients about health services. The survey is part of the [government’s] ongoing efforts to understand the quality of health services. I would now like to ask you some questions about your visit to the health facility today. This may take from 10 to 15 minutes. I will not record your name, and your responses will be kept confidential. Your participation and your responses will not affect the care you might receive at this health facility in the future. Your participation in this survey is voluntary. You may choose not to participate at all, and you may stop at any time before the end of the survey. You may choose not to answer any question that you are not comfortable with. In case you have any questions about this survey at any time, please feel free to contact any of the following people:

[LIST NAMES AND PHONE NUMBERS OF SURVEY MANAGEMENT PERSONS WHO CAN BE CONTACTED]

Do I have your agreement to proceed?"
PE_CONSENT_1_5,"PE_CONSENT_1 Signature of surveyor indicating informed consent was read and agreed by the patient or patient’s caregiver, if the patient is a child."
PE_CONSENT_2_5,"PE_CONSENT_2 Signature of patient (or patient’s caregiver, if the patient is a child) authorizing data collection."
PE_CONSENT_3_5,"PE_CONSENT_3 Consent given by patient or patient’s caregiver, if the patient is a child?"
PREQ132_5,"PREQ132 During your visit to the health facility today, did your primary care professionals speak to you in a way you could understand?"
PREQ122_5,"PREQ122 During your visit to the health facility today, did your primary care professionals treat you with respect?"
tHFA_D006_5,"tHFA_D006 Thinking about your visit today, did you feel that any of the workers at the health facility shouted at you, scolded you, insulted you, threatened you, or talked to you rudely?"
PREQ125_5,"PREQ125 During your visit to the health facility today, did you feel like you were involved in making decisions about your care as much as you wanted?"
PREQ119_5,"PREQ119 During your visit to the health facility today, did you believe your primary care professionals would keep your information confidential?"
PREQ129_5,"PREQ129 During your visit to the health facility today, did your primary care professionals discuss with you the care and support you receive from family members, friends, and others?"
tHFA_D001_5,tHFA_D001 What is your age (or the child’s age if the patient is a child)? In completed years
tHFA_D002_5,tHFA_D002 Record the patient’s sex
tHFA_D003_5,"tHFA_D003 During your visit to the health facility today, did your primary care professionals tell you what illness you/your child has?"
tHFA_D004_5,"tHFA_D004 During your visit to the health facility today, did your primary care professionals tell you about any illness signs or symptoms for which you must immediately come or bring the child back to a health facility?  "
tHFA_D005_5,"tHFA_D005 IF YES, ASK: Can you tell me one of these signs or symptoms?"
tHFA_D011_5,tHFA_D011 What are the key challenges/issues that you face while seeking care at this facility.?
tHFA_D011_TOO_EXPENSIVE_5,tHFA_D011_TOO_EXPENSIVE_5
tHFA_D011_TOO_FAR_5,tHFA_D011_TOO_FAR_5
tHFA_D011_LONG_WAITING_TIME_5,tHFA_D011_LONG_WAITING_TIME_5
tHFA_D011_FACILITY_OFTEN_CLOSED_5,tHFA_D011_FACILITY_OFTEN_CLOSED_5
tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_5,tHFA_D011_HEALTH_WORKERS_NOT_AVAILABLE_5
tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_5,tHFA_D011_HEALTH_WORKERS_NOT_RESPECTFUL_5
tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_5,tHFA_D011_LACK_OF_TRANSPORT_TO_REACH_FACILITY_5
tHFA_D011_POOR_QUALITY_OF_CARE_5,tHFA_D011_POOR_QUALITY_OF_CARE_5
tHFA_D011_OTHERS_SPECIFY__5,tHFA_D011_OTHERS_SPECIFY__5
tHFA_D011_DON_T_KNOW_5,tHFA_D011_DON_T_KNOW_5
tHFA_D011_1_5,tHFA_D011_1 Please specify Other
tHFA_E031,tHFA_E031 Are there Health Surveillance Assistants providing health services in the catchment area of this facility?
CHW_1,CHW_1 Are any of the randomly selected HEALTH SURVEILLANCE ASSISTANT (HSA) Present at the facility for the interview and give consent?
CHW_2,CHW_2 How many HEALTH SURVEILLANCE ASSISTANTS (HSA) Present at the facility for the interview?
CHW_repeat_count,CHW_repeat_count
CHW_begin_1,"ENUMERATOR, DO YOU HAVE HEALTH SURVEILLANCE ASSISTANT (HSA)/CSO STAFF PERSON/FACILITY INCHARGE WITH YOU FOR THE INTERVIEWS?"
E001_1,"E001 Hello, my name is ${FI_2}, and I am surveyor. Are you a Health Surveillance Assistant that works in communities around this health facility?"
CHW_CONSENT_1,Signature of surveyor indicating informed consent was read and agreed by the HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent (if HSAs are not available)
CHW_CONSENT_1_1,"CONSENT 
The [survey manager and survey implementer] in close collaboration with the [other relevant entities] are working to collect information from community health workers about health services. The survey is part of the [government’s] ongoing efforts to understand the quality of health services. I would now like to ask you questions about your work. This may take from 10 to 15 minutes. I will not record your name, and your responses will be kept confidential. Your participation in this survey is voluntary. You may choose not to participate at all or to stop at any time before the end of the survey. You may also choose not to answer any question that you are not comfortable with. In case you have any question(s) about this survey at any time, please feel free to contact any of the following people:

[LIST NAMES AND PHONE NUMBERS OF SURVEY MANAGEMENT PERSONS WHO CAN BE CONTACTED]

Do I have your agreement to proceed?"
CHW_CONSENT_2_1,Signature of HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent (if HSAs are not available) authorizing data collection.
tHFA_E002_1,tHFA_E002 Consent given by the HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent?
tHFA_E003_A_1,tHFA_E003_A HIV
tHFA_E003_B_1,tHFA_E003_B Tuberculosis/TB
tHFA_E003_C_1,tHFA_E003_C Malaria
tHFA_E003_D_1,tHFA_E003_D Nutrition
tHFA_E003_E_1,"tHFA_E003_E Maternal, newborn, or child health"
tHFA_E004_1,tHFA_E004 Did you receive a supervision visit last January 2024?
tHFA_E005_A_1,tHFA_E005_A HIV
tHFA_E005_B_1,tHFA_E005_B Tuberculosis/TB
tHFA_E005_C_1,tHFA_E005_C Malaria
tHFA_E005_D_1,tHFA_E005_D Nutrition
tHFA_E005_E_1,"tHFA_E005_E Maternal, newborn, or child health"
tHFA_E006_1,tHFA_E006 Did you receive a supervision visit last February 2024?
tHFA_E007_A_1,tHFA_E007_A HIV
tHFA_E007_B_1,tHFA_E007_B Tuberculosis/TB
tHFA_E007_C_1,tHFA_E007_C Malaria
tHFA_E007_D_1,tHFA_E007_D Nutrition
tHFA_E007_E_1,"tHFA_E007_E Maternal, newborn, or child health"
tHFA_E008_1,tHFA_E008 Did you receive a supervision visit last March 2024?
tHFA_E009_A_1,tHFA_E009_A HIV
tHFA_E009_B_1,tHFA_E009_B Tuberculosis/TB
tHFA_E009_C_1,tHFA_E009_C Malaria
tHFA_E009_D_1,tHFA_E009_D Nutrition
tHFA_E009_E_1,"tHFA_E009_E Maternal, newborn, or child health"
tHFA_E010_1,tHFA_E010 I would now like to ask you about your Health Surveillance Assistant contract. A contract is a written agreement about your work as a community health worker that has been signed by you and your employer. Do you have a contract?
tHFA_E011_1,tHFA_E011 A description of your work responsibilities?
tHFA_E012_1,"tHFA_E012 The expected number of hours that you must work each day, week, or month?"
tHFA_E013_1,tHFA_E013 A level of financial remuneration that is at least the national minimum wage?
tHFA_E014_1,"tHFA_E014 A description of how often you will be paid (for example, monthly)?"
tHFA_E015_1,"tHFA_E015 Rest days, or days that you do not need to work (for example, weekends)?"
tHFA_E016_1,"tHFA_E016 Annual leave or vacation days (for example, two weeks per year)? "
tHFA_E017_1,tHFA_E017 Paid sick leave?
tHFA_E018_1,tHFA_E018 Holidays?
tHFA_E019_1,tHFA_E019 Health insurance?
tHFA_E020_1,tHFA_E020 Do you receive payment for your work as a Health Surveillance Assistant (HSA)?
tHFA_E021_1,"tHFA_E021 For all 3 of the months, were you paid the amount stated in your contract?"
tHFA_E022_1,"tHFA_E022 For all 3 of the months, were you paid according to the frequency stated in your contract (for example, each month)?"
tHFA_E023_1,"tHFA_E023 For all 3 of the months, were you paid on time?"
tHFA_E032_A_1,tHFA_E032_A Amount 
tHFA_E032_B_1,tHFA_E032_B Currency
tHFA_E032_C_1,tHFA_E032_C Time period HEALTH SURVEILLANCE ASSISTANT (HSA) receives payment.
tHFA_E032_D_1,tHFA_E032_D Please specify Other
tHFA_E024_1,"tHFA_E024 What is the most important commodity that you need for your work as a Health Surveillance Assistant ? A commodity is an item that gets used up (for example, medicines, diagnostic tests, or condoms). "
tHFA_E025_1,"tHFA_E025 Regarding the commodity that you just mentioned, did you always have the item in-stock during the months January 2024, February 2024, and March 2024?"
tHFA_E026_1,"tHFA_E026 What is the most important piece of equipment that you need for your work as a Health Surveillance Assistant (HSA)? Examples of equipment are a backpack or box to carry things, a thermometer, or a scale to weigh children. "
tHFA_E027_1,"tHFA_E027 Regarding the item that you just mentioned, did you have the item and was it always functioning properly during the months January 2024, February 2024, and March 2024?"
tHFA_E028_1,"tHFA_E028 What is the most important job aid or form that you need for your work as a Health Surveillance Assistant (HSA)? Examples of job aids or forms are a patient register, a monthly reporting form, a counseling flip chart, or a guideline that explains how to do your job. "
tHFA_E028_A_1,tHFA_E028_A Please specify Other
tHFA_E029_1,"tHFA_E029 Regarding the item that you just mentioned, did you have the item during the months January 2024, February 2024, and March 2024?"
tHFA_E030_1,tHFA_E030 SELECT THE RESPONSE THAT DESCRIBES WHO ANSWERED THE ABOVE HEALTH SURVEILLANCE ASSISTANT (HSA) QUESTIONS.
CHW_begin_2,"ENUMERATOR, DO YOU HAVE HEALTH SURVEILLANCE ASSISTANT (HSA)/CSO STAFF PERSON/FACILITY INCHARGE WITH YOU FOR THE INTERVIEWS?"
E001_2,"E001 Hello, my name is ${FI_2}, and I am surveyor. Are you a Health Surveillance Assistant that works in communities around this health facility?"
CHW_CONSENT_2,Signature of HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent (if HSAs are not available) authorizing data collection.
CHW_CONSENT_1_2,Signature of surveyor indicating informed consent was read and agreed by the HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent (if HSAs are not available)
CHW_CONSENT_2_2,"CONSENT 
The [survey manager and survey implementer] in close collaboration with the [other relevant entities] are working to collect information from community health workers about health services. The survey is part of the [government’s] ongoing efforts to understand the quality of health services. I would now like to ask you questions about your work. This may take from 10 to 15 minutes. I will not record your name, and your responses will be kept confidential. Your participation in this survey is voluntary. You may choose not to participate at all or to stop at any time before the end of the survey. You may also choose not to answer any question that you are not comfortable with. In case you have any question(s) about this survey at any time, please feel free to contact any of the following people:

[LIST NAMES AND PHONE NUMBERS OF SURVEY MANAGEMENT PERSONS WHO CAN BE CONTACTED]

Do I have your agreement to proceed?"
tHFA_E002_2,tHFA_E002 Consent given by the HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent?
tHFA_E003_A_2,tHFA_E003_A HIV
tHFA_E003_B_2,tHFA_E003_B Tuberculosis/TB
tHFA_E003_C_2,tHFA_E003_C Malaria
tHFA_E003_D_2,tHFA_E003_D Nutrition
tHFA_E003_E_2,"tHFA_E003_E Maternal, newborn, or child health"
tHFA_E004_2,tHFA_E004 Did you receive a supervision visit last January 2024?
tHFA_E005_A_2,tHFA_E005_A HIV
tHFA_E005_B_2,tHFA_E005_B Tuberculosis/TB
tHFA_E005_C_2,tHFA_E005_C Malaria
tHFA_E005_D_2,tHFA_E005_D Nutrition
tHFA_E005_E_2,"tHFA_E005_E Maternal, newborn, or child health"
tHFA_E006_2,tHFA_E006 Did you receive a supervision visit last February 2024?
tHFA_E007_A_2,tHFA_E007_A HIV
tHFA_E007_B_2,tHFA_E007_B Tuberculosis/TB
tHFA_E007_C_2,tHFA_E007_C Malaria
tHFA_E007_D_2,tHFA_E007_D Nutrition
tHFA_E007_E_2,"tHFA_E007_E Maternal, newborn, or child health"
tHFA_E008_2,tHFA_E008 Did you receive a supervision visit last March 2024?
tHFA_E009_A_2,tHFA_E009_A HIV
tHFA_E009_B_2,tHFA_E009_B Tuberculosis/TB
tHFA_E009_C_2,tHFA_E009_C Malaria
tHFA_E009_D_2,tHFA_E009_D Nutrition
tHFA_E009_E_2,"tHFA_E009_E Maternal, newborn, or child health"
tHFA_E010_2,tHFA_E010 I would now like to ask you about your Health Surveillance Assistant contract. A contract is a written agreement about your work as a community health worker that has been signed by you and your employer. Do you have a contract?
tHFA_E011_2,tHFA_E011 A description of your work responsibilities?
tHFA_E012_2,"tHFA_E012 The expected number of hours that you must work each day, week, or month?"
tHFA_E013_2,tHFA_E013 A level of financial remuneration that is at least the national minimum wage?
tHFA_E014_2,"tHFA_E014 A description of how often you will be paid (for example, monthly)?"
tHFA_E015_2,"tHFA_E015 Rest days, or days that you do not need to work (for example, weekends)?"
tHFA_E016_2,"tHFA_E016 Annual leave or vacation days (for example, two weeks per year)? "
tHFA_E017_2,tHFA_E017 Paid sick leave?
tHFA_E018_2,tHFA_E018 Holidays?
tHFA_E019_2,tHFA_E019 Health insurance?
tHFA_E020_2,tHFA_E020 Do you receive payment for your work as a Health Surveillance Assistant (HSA)?
tHFA_E021_2,"tHFA_E021 For all 3 of the months, were you paid the amount stated in your contract?"
tHFA_E022_2,"tHFA_E022 For all 3 of the months, were you paid according to the frequency stated in your contract (for example, each month)?"
tHFA_E023_2,"tHFA_E023 For all 3 of the months, were you paid on time?"
tHFA_E032_A_2,tHFA_E032_A Amount 
tHFA_E032_B_2,tHFA_E032_B Currency
tHFA_E032_C_2,tHFA_E032_C Time period HEALTH SURVEILLANCE ASSISTANT (HSA) receives payment.
tHFA_E032_D_2,tHFA_E032_D Please specify Other
tHFA_E024_2,"tHFA_E024 What is the most important commodity that you need for your work as a Health Surveillance Assistant ? A commodity is an item that gets used up (for example, medicines, diagnostic tests, or condoms). "
tHFA_E025_2,"tHFA_E025 Regarding the commodity that you just mentioned, did you always have the item in-stock during the months January 2024, February 2024, and March 2024?"
tHFA_E026_2,"tHFA_E026 What is the most important piece of equipment that you need for your work as a Health Surveillance Assistant (HSA)? Examples of equipment are a backpack or box to carry things, a thermometer, or a scale to weigh children. "
tHFA_E027_2,"tHFA_E027 Regarding the item that you just mentioned, did you have the item and was it always functioning properly during the months January 2024, February 2024, and March 2024?"
tHFA_E028_2,"tHFA_E028 What is the most important job aid or form that you need for your work as a Health Surveillance Assistant (HSA)? Examples of job aids or forms are a patient register, a monthly reporting form, a counseling flip chart, or a guideline that explains how to do your job. "
tHFA_E028_A_2,tHFA_E028_A Please specify Other
tHFA_E029_2,"tHFA_E029 Regarding the item that you just mentioned, did you have the item during the months January 2024, February 2024, and March 2024?"
tHFA_E030_2,tHFA_E030 SELECT THE RESPONSE THAT DESCRIBES WHO ANSWERED THE ABOVE HEALTH SURVEILLANCE ASSISTANT (HSA) QUESTIONS.
CHW_begin_3,"ENUMERATOR, DO YOU HAVE HEALTH SURVEILLANCE ASSISTANT (HSA)/CSO STAFF PERSON/FACILITY INCHARGE WITH YOU FOR THE INTERVIEWS?"
E001_3,"E001 Hello, my name is ${FI_2}, and I am surveyor. Are you a Health Surveillance Assistant that works in communities around this health facility?"
CHW_CONSENT_3,"CONSENT 
The [survey manager and survey implementer] in close collaboration with the [other relevant entities] are working to collect information from community health workers about health services. The survey is part of the [government’s] ongoing efforts to understand the quality of health services. I would now like to ask you questions about your work. This may take from 10 to 15 minutes. I will not record your name, and your responses will be kept confidential. Your participation in this survey is voluntary. You may choose not to participate at all or to stop at any time before the end of the survey. You may also choose not to answer any question that you are not comfortable with. In case you have any question(s) about this survey at any time, please feel free to contact any of the following people:

[LIST NAMES AND PHONE NUMBERS OF SURVEY MANAGEMENT PERSONS WHO CAN BE CONTACTED]

Do I have your agreement to proceed?"
CHW_CONSENT_1_3,Signature of surveyor indicating informed consent was read and agreed by the HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent (if HSAs are not available)
CHW_CONSENT_2_3,Signature of HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent (if HSAs are not available) authorizing data collection.
tHFA_E002_3,tHFA_E002 Consent given by the HEALTH SURVEILLANCE ASSISTANT (HSA) or other Respondent?
tHFA_E003_A_3,tHFA_E003_A HIV
tHFA_E003_B_3,tHFA_E003_B Tuberculosis/TB
tHFA_E003_C_3,tHFA_E003_C Malaria
tHFA_E003_D_3,tHFA_E003_D Nutrition
tHFA_E003_E_3,"tHFA_E003_E Maternal, newborn, or child health"
tHFA_E004_3,tHFA_E004 Did you receive a supervision visit last January 2024?
tHFA_E005_A_3,tHFA_E005_A HIV
tHFA_E005_B_3,tHFA_E005_B Tuberculosis/TB
tHFA_E005_C_3,tHFA_E005_C Malaria
tHFA_E005_D_3,tHFA_E005_D Nutrition
tHFA_E005_E_3,"tHFA_E005_E Maternal, newborn, or child health"
tHFA_E006_3,tHFA_E006 Did you receive a supervision visit last February 2024?
tHFA_E007_A_3,tHFA_E007_A HIV
tHFA_E007_B_3,tHFA_E007_B Tuberculosis/TB
tHFA_E007_C_3,tHFA_E007_C Malaria
