Q100,Q102,Q105,Q106,Q105_a,Q113,Q113_A,Q116,Q116_A,Q117,Q118,tHFA_A001,tHFA_A002, Facility_Score , HW_Competence_Score , Patient_Centeredness_Score , HTM-ANC , system_CHW_score , facility_composite , HTM-ANC , presence_score , caseload , ANC_score , DPT_score , TB_treatment_completion , ART_retention , CHW_count , CHW_paid , CLM_score , guideline_score , oxygen_score , vacancy_score , all_funded_posts , all_unfilled_posts 
MWI_000499,Kalikumbi Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,22962, 55.45 , 30.91 , 80.00 , 66.67 , 70.00 , 75.93 , 66.67 , 100.00 , 70.00 , 40.00 , 88.17 , 100.00 , 66.67 , 5.00 , 60.00 , 100.00 , 100.00 , 100.00 , 67.65 , 34.00 , 11.00 
MWI_001098,Mzuzu Cental Hospital,North Zone,Mzimba,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,9, 57.88 , 41.33 , 74.43 , 60.00 , 60.00 , 50.82 , 60.00 ,,, -   , 94.12 , 100.00 , -   , 5.00 , 60.00 , 50.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001410,Thekerani Rural Hospital,South West Zone,Thyolo,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,19780, 47.17 , 46.00 , 48.33 , 66.67 , 50.00 , 84.51 , 66.67 , 50.00 , 100.00 , 80.00 , 94.91 , 100.00 , 100.00 , 5.00 , 20.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000845,Mase Health Centre,South East Zone,Mangochi,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,41410, 59.12 , 53.25 , 65.00 , 50.00 , 75.00 , 54.17 , 50.00 , -   ,, 80.00 , 86.67 ,,, 5.00 , 40.00 , 100.00 , 100.00 ,, 79.31 , 29.00 , 6.00 
MWI_001191,Nkhamenya Rural Hospital,Central East Zone,Kasungu,SECONDARY,OTHER (SPECIFY),Community Hospital,MISSION/FAITH-BASED,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,64700, 57.39 , 40.89 , 73.89 , 66.67 , 75.00 , 52.82 , 66.67 , 76.67 , 10.22 , 20.00 , 96.21 , -   , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 , 80.00 , 105.00 , 21.00 
MWI_000961,Mlale Mission Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER (SPECIFY),Community hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,24990, 64.67 , 48.22 , 81.11 , 66.67 , 25.00 , 68.70 , 66.67 , 75.00 , 100.00 , 20.00 , 99.24 , 20.00 , 100.00 , 5.00 , -   , 100.00 , 100.00 , 100.00 , 70.83 , 144.00 , 42.00 
MWI_000846,Masenjere Health Centre,South West Zone,Nsanje,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,22302, 42.69 , 31.33 , 54.05 , 66.67 , 60.00 , 69.44 , 66.67 , 50.00 , 100.00 , 100.00 ,, -   , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 ,, 96.00 , 25.00 , 1.00 
MWI_000855,Matapila Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,36291, 47.61 , 35.00 , 60.23 , 60.00 , 45.00 , 68.93 , 60.00 , 100.00 , 90.00 , 20.00 , 93.58 , 50.00 ,, 5.00 , 40.00 , 16.67 , 100.00 ,,, 44.00 , 999.00 
MWI_000509,Kaluluma Rural Hospital,Central East Zone,Kasungu,SECONDARY,OTHER (SPECIFY),Rural hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,14953, 60.33 , 50.67 , 70.00 , 53.33 , 60.00 , 58.62 , 53.33 , 33.33 , 100.00 , 40.00 , 83.67 , 100.00 , -   , 5.00 , 80.00 , 66.67 , 100.00 ,, 69.23 , 13.00 , 4.00 
MWI_001047,Mulibwanji Hospital,South East Zone,Mangochi,SECONDARY,OTHER (SPECIFY),Rural Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,9779, 60.89 , 50.67 , 71.11 , 66.67 , 50.00 , 70.15 , 66.67 , 100.00 , 100.00 , -   , 84.36 , 40.00 , 100.00 , 4.00 , 50.00 , 100.00 , 100.00 ,, 71.32 , 129.00 , 37.00 
MWI_000803,Malamulo Mission Hospital,South West Zone,Thyolo,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,47000, 83.22 , 82.00 , 84.44 , 66.67 , 70.00 , 78.43 , 66.67 , 100.00 , 100.00 , 60.00 , 82.37 , 40.00 , 100.00 , 5.00 , 80.00 , 100.00 , 100.00 , 100.00 , 71.97 , 239.00 , 67.00 
MWI_001019,Msese Health Centre,North Zone,Mzimba,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,10620, 39.69 , 22.00 , 57.39 , 66.67 , 58.33 , 64.44 , 66.67 , 50.00 , 100.00 , 20.00 , 100.00 ,, 50.00 , 3.00 , 33.33 , 50.00 , 100.00 ,, 52.63 , 38.00 , 18.00 
MWI_000636,Koche Community Hospital,South East Zone,Mangochi,SECONDARY,OTHER (SPECIFY),Community hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,53323, 78.03 , 92.73 , 63.33 , 66.67 , 60.00 , 66.60 , 66.67 , 50.00 , 100.00 , -   , 82.91 , 100.00 ,, 5.00 , 40.00 , 100.00 , 100.00 , 100.00 , 47.29 , 129.00 , 68.00 
MWI_000325,Daeyang Luke Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,46007, 59.78 , 37.33 , 82.22 , 66.67 , 35.00 , 61.25 , 66.67 , 100.00 , 43.57 , 40.00 , 78.51 , -   , 100.00 , 5.00 , -   , 100.00 , 100.00 , 100.00 , 80.00 , 225.00 , 45.00 
MWI_000299,Chiwamba Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,59389, 46.92 , 35.70 , 58.14 , 63.33 , 75.00 , 90.99 , 63.33 , 75.00 , 100.00 , 100.00 , 98.61 , 100.00 , 100.00 , 5.00 , 100.00 , 66.67 , 100.00 , 100.00 , 50.00 , 8.00 , 4.00 
MWI_000776,Magaleta Health Centre,South West Zone,Neno,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,7547, 52.07 , 40.26 , 63.89 , 50.00 , 85.00 , 52.50 , 50.00 , -   ,, 60.00 , 100.00 ,,, 5.00 , 60.00 , 83.33 , 100.00 , 100.00 , 83.33 , 42.00 , 7.00 
MWI_000314,Chulu Health Centre,Central East Zone,Kasungu,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,40561, 46.04 , 30.41 , 61.67 , 58.33 , 50.00 , 63.77 , 58.33 , 100.00 , 96.36 , -   , 91.69 , 100.00 , -   , 4.00 , 50.00 , 83.33 , 100.00 ,,, 999.00 , 999.00 
MWI_001160,Neno District Hospital,South West Zone,Neno,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,19157, 65.56 , 73.33 , 57.78 , 66.67 , 60.00 , 70.13 , 66.67 , 71.43 , 80.75 , -   , 92.06 , 100.00 , 80.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001203,Nkhulambe,South East Zone,Phalombe,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,26780, 53.60 , 51.43 , 55.77 , 66.67 , 70.00 , 62.92 , 66.67 ,,, 60.00 ,, 25.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 ,,, 999.00 , 999.00 
MWI_000453,Holy Family Mission,South East Zone,Phalombe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,41755, 75.01 , 73.35 , 76.67 , 56.67 , 75.00 , 58.12 , 56.67 , 100.00 , 17.50 , 40.00 , 92.70 , -   , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 , 89.78 , 225.00 , 23.00 
MWI_000113,Bua Health Centre,Central East Zone,Kasungu,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,54716, 48.81 , 34.67 , 62.96 , 66.67 , 56.25 , 53.66 , 66.67 , 100.00 , 15.00 , -   , 93.98 , 100.00 , -   , 4.00 , 50.00 , 100.00 , 100.00 ,, 84.21 , 57.00 , 9.00 
MWI_000479,Kabudula Rural Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER (SPECIFY),Community hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,56683, 67.22 , 70.00 , 64.44 , 60.00 , 35.00 , 71.12 , 60.00 , 100.00 , 100.00 , 60.00 , 97.81 , -   , 80.00 , 5.00 , -   , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001360,St. Annes Hospital,Central East Zone,Nkhotakota,SECONDARY,COMPREHENSIVE HEALTH CENTRE/ POLY CLINIC,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,42436, 58.35 , 36.15 , 80.56 , 66.67 , 62.50 , 66.53 , 66.67 , 25.00 , 6.25 , 80.00 , 87.78 , 100.00 , 100.00 , 4.00 , 75.00 , 66.67 , 100.00 , -   , 52.44 , 225.00 , 107.00 
MWI_000700,Lisungwi Community Hospital,South West Zone,Neno,SECONDARY,OTHER (SPECIFY),Community Hospital,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,14540, 67.44 , 69.33 , 65.56 , 60.00 , 70.00 , 70.19 , 60.00 , 38.46 , 100.00 , 20.00 , 92.86 , 80.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 ,,, 999.00 , 999.00 
MWI_001081,Mwanza District Hospital,South West Zone,Mwanza,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,86318, 53.00 , 42.67 , 63.33 , 66.67 , 60.00 , 54.99 , 66.67 , 83.08 , 29.81 , 60.00 , 90.41 , -   ,, 5.00 , -   , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000794,Makungwa,South West Zone,Thyolo,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,19978, 49.32 , 47.33 , 51.32 , 66.67 , 60.00 , 72.75 , 66.67 , 50.00 , 100.00 , 60.00 , 92.59 , 40.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 ,, 94.29 , 35.00 , 2.00 
MWI_001202,Nkhotakota District Hospital,Central East Zone,Nkhotakota,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,73989, 55.17 , 35.33 , 75.00 , 33.33 , 55.00 , 60.52 , 33.33 , 100.00 , 100.00 , -   , 90.27 , 100.00 , -   , 5.00 , 60.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000588,Kasungu District Hospital,Central East Zone,Kasungu,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,116900, 54.83 , 34.67 , 75.00 , 66.67 , 56.25 , 75.70 , 66.67 , 94.95 , 19.41 , 60.00 , 88.84 , 100.00 , 100.00 , 4.00 , 75.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001162,New state house Clinic,Central West Zone,Lilongwe,PRIMARY,CLINIC/DISPENSARY,,MINISTRY OF HEALTH,,URBAN,OUTPATIENT ONLY,PRIMARY,6411, 52.64 , 35.27 , 70.00 , 68.33 , 41.67 , 79.81 , 68.33 , 66.67 , 100.00 , 60.00 , 83.84 ,, 100.00 , 3.00 , 66.67 , -   , 100.00 , 100.00 , 92.86 , 14.00 , 1.00 
MWI_000019,Alinafe Community Hospital,Central East Zone,Nkhotakota,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,INPATIENT ONLY,PRIMARY,18422, 37.33 , 37.33 ,, 66.67 , 55.00 , 80.34 , 66.67 , 100.00 , 100.00 , -   , 95.73 , 100.00 , 100.00 , 5.00 , 40.00 , 100.00 , 100.00 , 100.00 , 70.73 , 123.00 , 36.00 
MWI_001542,Phalombe District Hospital,South East Zone,Phalombe,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,9, 51.56 , 48.67 , 54.44 , 66.67 , 65.00 , 88.81 , 66.67 ,,, 80.00 , 97.39 , 100.00 , 100.00 , 5.00 , 60.00 , 66.67 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000261,Chiradzulu District Hospital,South West Zone,Chiradzulu,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,35034, 54.11 , 46.00 , 62.22 , 60.00 , 70.00 , 65.87 , 60.00 ,,, -   , 69.33 , 100.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000436,Gotha Estate Clinic,South West Zone,Thyolo,PRIMARY,CLINIC/DISPENSARY,,OTHER (SPECIFY),Eastern produce Malawi,RURAL,OUTPATIENT ONLY,PRIMARY,1550, 37.22 , 10.00 , 64.44 ,,, 88.33 ,, 100.00 , 65.00 ,,,, 100.00 , -   ,, 16.67 , 100.00 ,, 62.50 , 8.00 , 3.00 
MWI_001369,St. Joseph Hospital (Chiradzulu),South West Zone,Chiradzulu,SECONDARY,OTHER (SPECIFY),Mission Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,54172, 50.10 , 34.67 , 65.54 , 53.33 , 70.00 , 75.21 , 53.33 , 53.85 , 25.71 , 100.00 , 93.60 , 100.00 , 100.00 , 5.00 , 100.00 , 16.67 , 100.00 , 100.00 , 81.78 , 225.00 , 41.00 
MWI_001563,Mtengowanthenga Community Hospital,Central East Zone,Dowa,SECONDARY,REGIONAL/PROVINCIAL REFERRAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,80172, 56.22 , 41.33 , 71.11 , 60.00 , 60.00 , 70.87 , 60.00 , 75.00 , 25.83 , 80.00 , 75.23 , 80.00 , 100.00 , 5.00 , 60.00 , 100.00 , 100.00 , 100.00 , 82.95 , 129.00 , 22.00 
MWI_000769,Madisi Mission Hospital,Central East Zone,Dowa,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,23848, 67.39 , 58.67 , 76.11 , 66.67 , 50.00 , 67.10 , 66.67 , 100.00 , 28.33 , -   , 94.69 , 100.00 , 80.00 , 5.00 , -   , 100.00 , 100.00 , 100.00 , 60.00 , 250.00 , 100.00 
MWI_000350,Dowa District Hospital,Central East Zone,Dowa,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,38340, 53.99 , 53.33 , 54.65 , 66.67 , 55.00 , 77.66 , 66.67 ,,, 100.00 , 91.62 , 80.00 , 50.00 , 5.00 , 80.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001293,Queen Elizabeth Central Hospital,South West Zone,Blantyre,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,3821, 75.50 , 89.33 , 61.67 , 60.00 , 60.00 , 86.67 , 60.00 ,,, 100.00 ,, 100.00 ,, 5.00 , 20.00 , 16.67 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001046,Mulanje Mission Hospital,South East Zone,Mulanje,SECONDARY,OTHER GENERAL HOSPITAL,,MISSION/FAITH-BASED,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,100000, 60.04 , 59.52 , 60.56 , 63.33 , 80.00 , 86.10 , 63.33 , 80.00 , 75.63 , 100.00 , 97.65 , 100.00 ,, 5.00 , 20.00 , 83.33 , 100.00 , 100.00 , 100.00 , 225.00 , -   
MWI_001013,Mponela Rural Hospital,Central East Zone,Dowa,SECONDARY,OTHER GENERAL HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,100326, 85.28 , 86.67 , 83.89 , 66.67 , 65.00 , 80.17 , 66.67 , 100.00 , -   , 100.00 , 94.54 , 100.00 , 100.00 , 5.00 , 60.00 , 100.00 , 100.00 ,, 63.99 , 486.00 , 175.00 
MWI_000237,Chingadzi Rural Hospital,South West Zone,Thyolo,SECONDARY,OTHER (SPECIFY),Rural Hospital,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,PRIMARY,8375, 53.04 , 32.00 , 74.07 , 66.67 , 50.00 , 65.82 , 66.67 , 50.00 , 60.00 , 20.00 , 98.25 ,, 100.00 , 5.00 , 80.00 , 100.00 , 100.00 ,, 38.76 , 129.00 , 79.00 
MWI_001422,Thuchila Health Centre,South East Zone,Mulanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,43035, 58.75 , 57.50 , 60.00 , 66.67 , 65.00 , 58.18 , 66.67 , 50.00 , -   , 40.00 , 92.40 , 100.00 ,, 5.00 , -   , 100.00 , 100.00 , 100.00 , 61.40 , 57.00 , 22.00 
MWI_000136,Chavala Health Centre,South West Zone,Blantyre,PRIMARY,HEALTH CENTRE,,LOCAL GOVERNMENT,,RURAL,OUTPATIENT ONLY,PRIMARY,15702, 58.12 , 47.33 , 68.90 , 66.67 , 50.00 , 84.52 , 66.67 , 66.67 , 100.00 , 60.00 , 98.32 , 100.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 , 93.75 , 32.00 , 2.00 
MWI_001038,Mtosa Health Centre,Central East Zone,Nkhotakota,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,17674, 51.17 , 29.00 , 73.33 , 66.67 , 41.67 , 66.33 , 66.67 , 50.00 , 100.00 , -   , 81.30 ,, 100.00 , 3.00 , -   , 66.67 , 100.00 ,, 46.88 , 64.00 , 34.00 
MWI_000963,Mlanda Health Centre,Central West Zone,Ntcheu,PRIMARY,HEALTH CENTRE,,MISSION/FAITH-BASED,,RURAL,OUTPATIENT ONLY,PRIMARY,7192, 51.51 , 38.57 , 64.44 , 46.67 , 90.00 , 57.12 , 46.67 , 100.00 , 45.00 , -   , 93.93 ,,, 5.00 , 100.00 , 100.00 , 100.00 ,, 80.00 , 35.00 , 7.00 
MWI_001225,Ntcheu District Hospital,Central West Zone,Ntcheu,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,67285, 54.33 , 48.67 , 60.00 , 66.67 , 60.00 , 69.03 , 66.67 ,,, 20.00 , 98.49 , 60.00 , 100.00 , 5.00 , 40.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000947,Mkanda Health Centre,Central West Zone,Mchinji,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,BOTH OUT AND INPATIENT,PRIMARY,49453, 40.22 , 32.67 , 47.78 , 66.67 , 35.00 , 80.52 , 66.67 , 100.00 , 100.00 , 20.00 , 96.43 , 100.00 ,, 5.00 , 20.00 , 100.00 , 100.00 ,,, 999.00 , 999.00 
MWI_001045,Mulanje District Hospital,South East Zone,Mulanje,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,PERIURBAN,BOTH OUT AND INPATIENT,SECONDARY,44448, 53.38 , 36.89 , 69.87 , 60.00 , 62.50 , 83.99 , 60.00 ,,, 80.00 , 95.97 , 100.00 ,, 4.00 , 100.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001444,Tsangano Health Centre,Central West Zone,Ntcheu,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,41819, 50.97 , 33.33 , 68.60 , 66.67 , 50.00 , 38.40 , 66.67 , -   ,, 80.00 , 25.35 , 20.00 ,, 5.00 , 100.00 , 100.00 , 100.00 ,, 76.32 , 38.00 , 9.00 
MWI_000007,ABC Comm. Hospital,Central West Zone,Lilongwe,SECONDARY,OTHER GENERAL HOSPITAL,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,URBAN,BOTH OUT AND INPATIENT,SECONDARY,999, 69.94 , 76.00 , 63.89 , 66.67 , 80.00 , 80.78 , 66.67 , 100.00 , 100.00 , -   , 98.79 , 100.00 , 100.00 , 5.00 , 40.00 , 16.67 , 100.00 , 100.00 , 71.32 , 129.00 , 37.00 
MWI_001226,Ntchisi District Hospital,Central East Zone,Ntchisi,SECONDARY,DISTRICT HOSPITAL,,LOCAL GOVERNMENT,,RURAL,BOTH OUT AND INPATIENT,SECONDARY,63000, 53.33 , 43.33 , 63.33 , 66.67 , 45.00 , 83.64 , 66.67 ,,, 60.00 , 91.51 , 100.00 , 100.00 , 5.00 , 40.00 , 83.33 , 100.00 ,,, 999.00 , 999.00 
MWI_000877,Mbang'ombe 2 Health Centre,Central West Zone,Lilongwe,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,26893, 55.17 , 27.00 , 83.33 , 66.67 , 75.00 , 77.34 , 66.67 , 100.00 , 100.00 , -   , 97.35 ,, 100.00 , 2.00 , 50.00 , 66.67 , 100.00 ,, 45.45 , 66.00 , 36.00 
MWI_000542,Kanyama Health Centre,Central West Zone,Dedza,PRIMARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,OUTPATIENT ONLY,PRIMARY,25954, 55.06 , 29.00 , 81.11 , 66.67 , 65.00 , 75.63 , 66.67 , 100.00 , 100.00 , -   , 87.09 ,, 100.00 , 5.00 , 40.00 , 100.00 , 100.00 , 100.00 , 70.83 , 48.00 , 14.00 
MWI_000528,Kamuzu Barracks Hospital,Central West Zone,Lilongwe,SECONDARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,PRIMARY,26934, 73.94 , 80.67 , 67.22 , 66.67 , 50.00 , 80.20 , 66.67 ,, 35.00 , 80.00 , 99.53 , 100.00 , 100.00 , 4.00 , 75.00 , 50.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_001428,Thyolo District Hospital,South West Zone,Thyolo,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,63731, 70.44 , 72.00 , 68.89 , 60.00 , 80.00 , 79.03 , 60.00 , 100.00 , 37.31 , 80.00 , 95.87 , 80.00 , 100.00 , 5.00 , 80.00 , 100.00 , 100.00 ,,, 999.00 , 999.00 
MWI_000122,Bwaila Hospital,Central West Zone,Lilongwe,SECONDARY,DISTRICT HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,SECONDARY,130615, 66.40 , 72.24 , 60.56 , 56.67 , 50.00 , 83.55 , 56.67 ,,, 100.00 , 81.09 , 80.00 , 100.00 , 5.00 , 100.00 , 100.00 , 100.00 , 100.00 ,, 999.00 , 999.00 
MWI_000529,Kamuzu Central Hospital,Central West Zone,Lilongwe,TERTIARY,CENTRAL HOSPITAL,,MINISTRY OF HEALTH,,URBAN,BOTH OUT AND INPATIENT,TERTIARY,27325, 69.92 , 74.29 , 65.56 , 66.67 , 75.00 , 67.33 , 66.67 , 100.00 , -   , 80.00 , 49.65 , 75.00 , 100.00 , 5.00 , 60.00 , 16.67 , 100.00 ,,, 999.00 , 999.00 
MWI_000496,Kalemba Community Hospital,South West Zone,Nsanje,SECONDARY,HEALTH CENTRE,,CHRISTIAN HEALTH ASSOCIATION OF MALAWI (CHAM),,RURAL,BOTH OUT AND INPATIENT,SECONDARY,38701, 63.48 , 63.64 , 63.33 , 66.67 , 90.00 , 75.45 , 66.67 , 50.00 , 100.00 , 40.00 , 96.06 , 100.00 ,, 5.00 , 60.00 , 100.00 , 100.00 , 100.00 , 58.91 , 129.00 , 53.00 
MWI_000273,Chisitu Health Centre,South East Zone,Mulanje,PRIMARY,HEALTH CENTRE,,MINISTRY OF HEALTH,,RURAL,OUTPATIENT ONLY,PRIMARY,30718, 59.05 , 46.42 , 71.67 , 63.33 , 70.00 , 72.84 , 63.33 , 50.00 , 100.00 , 20.00 , 96.53 , 100.00 , 80.00 , 5.00 , 80.00 , 100.00 , 100.00 ,,, 45.00 , 999.00 
